symbol,tick_time,decision,reason,score,mid,bid,ask,session,price_position,fvg_high,fvg_low,fvg_side,fvg_filled,fvg_age_bars,atr_20_1m,atr_15_15m,prev_day_high,prev_day_low,current_session_high,current_session_low,prev_session_high,prev_session_low,session_boundary,n_confirmed_swing_highs_15m,n_confirmed_swing_lows_15m,fvg_timestamp,smc_trend_15m,hh_15m,ll_15m,strong_low_15m,strong_high_15m,bos_detected_15m,choch_detected_15m,bos_up_15m,bos_down_15m,choch_up_15m,choch_down_15m,is_swing_high_15m,is_swing_low_15m,market_bias_4h,liq_swept,liq_side
XAUUSD,2024-01-02 12:31:07.203000+07:00,HOLD,hold,,2071.64,2071.495,2071.785,asian,,,,,False,0,0.36254285551402077,1.7667170817033795,2066.8805,2063.25,2064.5955000000004,2063.8105,,,True,1,2,,bull,2069.98,2062.4385,2064.0785,,True,False,,,,,,,neutral,False,nan
XAUUSD,2024-01-02 12:31:07.354000+07:00,HOLD,hold,,2071.62,2071.475,2071.765,asian,,,,,False,0,0.36254285551402077,1.7667170817033795,2066.8805,2063.25,2064.5955000000004,2063.8105,,,True,1,2,,bull,2069.98,2062.4385,2064.0785,,True,False,,,,,,,neutral,False,nan
XAUUSD,2024-01-02 12:31:07.456000+07:00,HOLD,hold,,2071.56,2071.415,2071.705,asian,,,,,False,0,0.36254285551402077,1.7667170817033795,2066.8805,2063.25,2064.5955000000004,2063.8105,,,True,1,2,,bull,2069.98,2062.4385,2064.0785,,True,False,,,,,,,neutral,False,nan
XAUUSD,2024-01-02 12:31:12.579000+07:00,HOLD,hold,,2071.46,2071.315,2071.605,asian,,,,,False,0,0.36254285551402077,1.7667170817033795,2066.8805,2063.25,2064.5955000000004,2063.8105,,,True,1,2,,bull,2069.98,2062.4385,2064.0785,,True,False,,,,,,,neutral,False,nan
XAUUSD,2024-01-02 12:31:19.808000+07:00,HOLD,hold,,2071.2965000000004,2071.168,2071.425,asian,,,,,False,0,0.36254285551402077,1.7667170817033795,2066.8805,2063.25,2064.5955000000004,2063.8105,,,True,1,2,,bull,2069.98,2062.4385,2064.0785,,True,False,,,,,,,neutral,False,nan
XAUUSD,2024-01-02 12:31:19.859000+07:00,HOLD,hold,,2071.25,2071.105,2071.395,asian,,,,,False,0,0.36254285551402077,1.7667170817033795,2066.8805,2063.25,2064.5955000000004,2063.8105,,,True,1,2,,bull,2069.98,2062.4385,2064.0785,,True,False,,,,,,,neutral,False,nan
XAUUSD,2024-01-02 12:31:19.910000+07:00,HOLD,hold,,2071.22,2071.075,2071.365,asian,,,,,False,0,0.36254285551402077,1.7667170817033795,2066.8805,2063.25,2064.5955000000004,2063.8105,,,True,1,2,,bull,2069.98,2062.4385,2064.0785,,True,False,,,,,,,neutral,False,nan
XAUUSD,2024-01-02 12:31:20.766000+07:00,HOLD,hold,,2071.21,2071.065,2071.355,asian,,,,,False,0,0.36254285551402077,1.7667170817033795,2066.8805,2063.25,2064.5955000000004,2063.8105,,,True,1,2,,bull,2069.98,2062.4385,2064.0785,,True,False,,,,,,,neutral,False,nan
XAUUSD,2024-01-02 12:31:20.868000+07:00,HOLD,hold,,2071.18,2071.035,2071.325,asian,,,,,False,0,0.36254285551402077,1.7667170817033795,2066.8805,2063.25,2064.5955000000004,2063.8105,,,True,1,2,,bull,2069.98,2062.4385,2064.0785,,True,False,,,,,,,neutral,False,nan
XAUUSD,2024-01-02 12:31:21.321000+07:00,HOLD,hold,,2071.2,2071.055,2071.345,asian,,,,,False,0,0.36254285551402077,1.7667170817033795,2066.8805,2063.25,2064.5955000000004,2063.8105,,,True,1,2,,bull,2069.98,2062.4385,2064.0785,,True,False,,,,,,,neutral,False,nan
XAUUSD,2024-01-02 12:31:21.623000+07:00,HOLD,hold,,2071.13,2070.985,2071.275,asian,,,,,False,0,0.36254285551402077,1.7667170817033795,2066.8805,2063.25,2064.5955000000004,2063.8105,,,True,1,2,,bull,2069.98,2062.4385,2064.0785,,True,False,,,,,,,neutral,False,nan
XAUUSD,2024-01-02 12:31:22.077000+07:00,HOLD,hold,,2071.17,2071.025,2071.315,asian,,,,,False,0,0.36254285551402077,1.7667170817033795,2066.8805,2063.25,2064.5955000000004,2063.8105,,,True,1,2,,bull,2069.98,2062.4385,2064.0785,,True,False,,,,,,,neutral,False,nan
XAUUSD,2024-01-02 12:31:32.707000+07:00,HOLD,hold,,2071.21,2071.065,2071.355,asian,,,,,False,0,0.36254285551402077,1.7667170817033795,2066.8805,2063.25,2064.5955000000004,2063.8105,,,True,1,2,,bull,2069.98,2062.4385,2064.0785,,True,False,,,,,,,neutral,False,nan
XAUUSD,2024-01-02 12:31:36.273000+07:00,HOLD,hold,,2071.22,2071.075,2071.365,asian,,,,,False,0,0.36254285551402077,1.7667170817033795,2066.8805,2063.25,2064.5955000000004,2063.8105,,,True,1,2,,bull,2069.98,2062.4385,2064.0785,,True,False,,,,,,,neutral,False,nan
XAUUSD,2024-01-02 12:31:40.186000+07:00,HOLD,hold,,2071.23,2071.085,2071.375,asian,,,,,False,0,0.36254285551402077,1.7667170817033795,2066.8805,2063.25,2064.5955000000004,2063.8105,,,True,1,2,,bull,2069.98,2062.4385,2064.0785,,True,False,,,,,,,neutral,False,nan
XAUUSD,2024-01-02 12:31:40.790000+07:00,HOLD,hold,,2071.22,2071.075,2071.365,asian,,,,,False,0,0.36254285551402077,1.7667170817033795,2066.8805,2063.25,2064.5955000000004,2063.8105,,,True,1,2,,bull,2069.98,2062.4385,2064.0785,,True,False,,,,,,,neutral,False,nan
XAUUSD,2024-01-02 12:31:42.697000+07:00,HOLD,hold,,2071.2,2071.055,2071.345,asian,,,,,False,0,0.36254285551402077,1.7667170817033795,2066.8805,2063.25,2064.5955000000004,2063.8105,,,True,1,2,,bull,2069.98,2062.4385,2064.0785,,True,False,,,,,,,neutral,False,nan
XAUUSD,2024-01-02 12:31:42.799000+07:00,HOLD,hold,,2071.19,2071.045,2071.335,asian,,,,,False,0,0.36254285551402077,1.7667170817033795,2066.8805,2063.25,2064.5955000000004,2063.8105,,,True,1,2,,bull,2069.98,2062.4385,2064.0785,,True,False,,,,,,,neutral,False,nan
XAUUSD,2024-01-02 12:31:43.203000+07:00,HOLD,hold,,2071.15,2071.005,2071.295,asian,,,,,False,0,0.36254285551402077,1.7667170817033795,2066.8805,2063.25,2064.5955000000004,2063.8105,,,True,1,2,,bull,2069.98,2062.4385,2064.0785,,True,False,,,,,,,neutral,False,nan
XAUUSD,2024-01-02 12:31:45.262000+07:00,HOLD,hold,,2071.14,2070.995,2071.285,asian,,,,,False,0,0.36254285551402077,1.7667170817033795,2066.8805,2063.25,2064.5955000000004,2063.8105,,,True,1,2,,bull,2069.98,2062.4385,2064.0785,,True,False,,,,,,,neutral,False,nan
XAUUSD,2024-01-02 12:31:47.975000+07:00,HOLD,hold,,2071.15,2071.005,2071.295,asian,,,,,False,0,0.36254285551402077,1.7667170817033795,2066.8805,2063.25,2064.5955000000004,2063.8105,,,True,1,2,,bull,2069.98,2062.4385,2064.0785,,True,False,,,,,,,neutral,False,nan
XAUUSD,2024-01-02 12:31:49.988000+07:00,HOLD,hold,,2071.27,2071.125,2071.415,asian,,,,,False,0,0.36254285551402077,1.7667170817033795,2066.8805,2063.25,2064.5955000000004,2063.8105,,,True,1,2,,bull,2069.98,2062.4385,2064.0785,,True,False,,,,,,,neutral,False,nan
XAUUSD,2024-01-02 12:31:50.140000+07:00,HOLD,hold,,2071.29,2071.145,2071.435,asian,,,,,False,0,0.36254285551402077,1.7667170817033795,2066.8805,2063.25,2064.5955000000004,2063.8105,,,True,1,2,,bull,2069.98,2062.4385,2064.0785,,True,False,,,,,,,neutral,False,nan
XAUUSD,2024-01-02 12:31:55.514000+07:00,HOLD,hold,,2071.27,2071.125,2071.415,asian,,,,,False,0,0.36254285551402077,1.7667170817033795,2066.8805,2063.25,2064.5955000000004,2063.8105,,,True,1,2,,bull,2069.98,2062.4385,2064.0785,,True,False,,,,,,,neutral,False,nan
XAUUSD,2024-01-02 12:31:57.371000+07:00,HOLD,hold,,2071.24,2071.095,2071.385,asian,,,,,False,0,0.36254285551402077,1.7667170817033795,2066.8805,2063.25,2064.5955000000004,2063.8105,,,True,1,2,,bull,2069.98,2062.4385,2064.0785,,True,False,,,,,,,neutral,False,nan
XAUUSD,2024-01-02 12:31:57.774000+07:00,HOLD,hold,,2071.26,2071.115,2071.405,asian,,,,,False,0,0.36254285551402077,1.7667170817033795,2066.8805,2063.25,2064.5955000000004,2063.8105,,,True,1,2,,bull,2069.98,2062.4385,2064.0785,,True,False,,,,,,,neutral,False,nan
XAUUSD,2024-01-02 12:31:58.227000+07:00,HOLD,hold,,2071.21,2071.065,2071.355,asian,,,,,False,0,0.36254285551402077,1.7667170817033795,2066.8805,2063.25,2064.5955000000004,2063.8105,,,True,1,2,,bull,2069.98,2062.4385,2064.0785,,True,False,,,,,,,neutral,False,nan
XAUUSD,2024-01-02 12:32:01.388000+07:00,HOLD,hold,,2071.22,2071.075,2071.365,asian,,,,,False,0,0.35741571273833067,1.7667170817033795,2066.8805,2063.25,2064.5955000000004,2063.8105,,,True,1,2,,bull,2069.98,2062.4385,2064.0785,,True,False,,,,,,,neutral,False,nan
